"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "Car" 430165 0.0718286538495577 0.101364188791373 0.708619628944053
"2" "Empty" 3907 0.000652388154755086 0.00136882340679234 0.476605054762961
"3" "Hetatm" 55806 0.0093184472393812 0.0284533986907609 0.327498564957268
"4" "Meta" 1236 0.000206386424181543 0.000413054342603248 0.499659252777263
"5" "Nam" 644137 0.107557550253258 0.122396362442333 0.878764271315115
"6" "Nbas" 56069 0.00936236279727744 0.0138061509091906 0.678129832047904
"7" "Oc" 659547 0.110130701383223 0.113412807288714 0.971060535543084
"8" "Oh" 85778 0.014323151046476 0.0161379444086463 0.887544948959053
"9" "Oow" 301993 0.0504265820371008 0.0718651965794947 0.701682934677855
"10" "Oox" 95555 0.0159557077367858 0.0201620214660147 0.791374404777861
"11" "Xot" 3654573 0.610238069078004 0.510620051674078 1.19509225514612
