"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "Ag" 3 1.70635108423823e-07 2.51198667709253e-07 0.679283492941621
"2" "As" 26 1.4788376063398e-06 1.36065945009179e-06 1.08685358870659
"3" "Au" 124 7.05291781485135e-06 6.86609691738624e-06 1.02720918444831
"4" "B" 1 5.68783694746077e-08 2.51198667709253e-07 0.22642783098054
"5" "Ba" 33 1.87698619266205e-06 1.94678967474671e-06 0.964144312562301
"6" "Be" 3 1.70635108423823e-07 1.67465778472835e-07 1.01892523941243
"7" "Br" 773 4.39669796038717e-05 4.43574980729922e-05 0.991196111456109
"8" "C.1" 913 5.19299513303168e-05 4.74137485301215e-05 1.09525091223965
"9" "C.2" 876949 0.0498794292323877 0.0399844851329534 1.24746958893012
"10" "C.3" 4889269 0.278093648642746 0.240669089421995 1.15550214325667
"11" "C.ar" 942288 0.0535958050154891 0.0482206614504705 1.11146971865037
"12" "C.cat" 4708 0.000267783363486453 0.000233133296856496 1.14862770396665
"13" "Ca" 4430 0.000251971176772512 0.000232756498854932 1.08255270212479
"14" "Cd" 424 2.41164286572337e-05 2.57687966625075e-05 0.935877176302999
"15" "Cl" 3947 0.000224498924316276 0.000244855901349594 0.916861399210253
"16" "Co.oh" 129 7.33730966222439e-06 8.24768958978713e-06 0.889620005984459
"17" "Cs" 37 2.10449967056048e-06 3.05625045712924e-06 0.68858874626959
"18" "Cu" 149 8.47487705171654e-06 1.45276562825185e-05 0.583361616416722
"19" "Du" 1540 8.75926889908958e-05 9.68998860688443e-05 0.903950381620304
"20" "Dy" 6 3.41270216847646e-07 2.09332223091044e-07 1.63028038305989
"21" "elt_symbol" 13 7.394188031699e-07 4.32480372906097e-05 0.0170971643915607
"22" "empty" 41404 0.00235499200972666 0.00280547045386617 0.839428555193402
"23" "Er" 2 1.13756738949215e-07 6.27996669273132e-08 1.81142264784433
"24" "Eu" 6 3.41270216847646e-07 2.51198667709253e-07 1.35856698588324
"25" "F" 201 1.14325522643961e-05 1.38787263909362e-05 0.82374649822785
"26" "Fe" 658 3.74259671142918e-05 5.62266351222544e-05 0.665627011698566
"27" "Ga" 7 3.98148586322254e-07 3.97731223872984e-07 1.00104935801923
"28" "Gd" 20 1.13756738949215e-06 1.21412689392806e-06 0.936942748884992
"29" "H" 46110 0.00262266161647416 0.00468830913445857 0.55940458302928
"30" "Hg" 318 1.80873214929252e-05 1.6432579512647e-05 1.10069885735254
"31" "Ho" 3 1.70635108423823e-07 1.8839900078194e-07 0.905711323922161
"32" "I" 1622 9.22567152878136e-05 9.13107157123134e-05 1.01036022517314
"33" "Ir" 6 3.41270216847646e-07 2.30265445400148e-07 1.482073075509
"34" "K" 642 3.65159132026981e-05 3.66750054855509e-05 0.995662106092514
"35" "La" 7 3.98148586322254e-07 3.55864779254775e-07 1.11881987072738
"36" "Li" 9 5.11905325271469e-07 4.39597668491192e-07 1.16448598789992
"37" "Lu" 3 1.70635108423823e-07 2.09332223091044e-07 0.815140191529946
