"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.1" 600 0.000160893840367031 0.000114567525697728 1.40435816682931
"2" "C.2" 429558 0.115188727133969 0.164137626391133 0.701781362790508
"3" "C.3" 1565718 0.419857303252978 0.373889100058584 1.12294609066483
"4" "C.ar" 488797 0.131074044149806 0.0750031494032964 1.74758053751867
"5" "C.cat" 22520 0.0060388821417759 0.00583450772199358 1.03502856273751
"6" "Co.oh" 27 7.2402228165164e-06 3.66331390409327e-06 1.97641343495746
"7" "Du" 186 4.98770905137796e-05 3.46444829215678e-05 1.43968350246985
"8" "empty" 11176 0.00299691593323656 0.00276609506270275 1.0834464706749
"9" "N.1" 47 1.26033508287508e-05 1.34181955001359e-05 0.939273155516561
"10" "N.2" 940 0.000252067016575015 0.000247388821248996 1.01891029393487
"11" "N.3" 17710 0.00474904985483353 0.00497034243862913 0.95547739687396
"12" "N.4" 977 0.000261988803397649 0.000253438522496327 1.03373710048931
"13" "N.am" 290800 0.0779798812978877 0.126124841467474 0.618275356310341
"14" "N.ar" 39825 0.0106793286543617 0.00666691730711511 1.60183907530463
"15" "N.pl3" 65209 0.0174862107274895 0.0146491945712451 1.19366362720127
"16" "O.2" 397460 0.106581442987134 0.10518065014988 1.01331797089348
"17" "O.3" 77082 0.0206700316719525 0.0187702343143493 1.1012133000466
"18" "O.3.wat" 200626 0.0537991460291266 0.0683887535509548 0.786666567757258
"19" "O.co2" 74634 0.020013584803255 0.0199778928425838 1.00178657283591
"20" "P.3" 472 0.000126569821088731 0.00017927211585517 0.706020679707847
"21" "Ru.oh" 15452 0.00414355270225227 0.00818131034184496 0.50646565514808
"22" "S.2" 53 1.42122892324211e-05 7.18009525202281e-06 1.97940121036934
"23" "S.3" 29298 0.00785644622512213 0.00457041322641369 1.71897940862711
