"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "As" 1 3.58690349794829e-06 1.4234591170191e-06 2.51985002945481
"2" "Au" 1 3.58690349794829e-06 5.67290324576729e-06 0.632287092261723
"3" "Br" 17 6.09773594651209e-05 4.29759054005913e-05 1.41887317781284
"4" "C.1" 3 1.07607104938449e-05 4.93814714271773e-05 0.217909879613726
"5" "C.2" 2966 0.0106387557749146 0.0503260202842087 0.211396723103354
"6" "C.3" 62370 0.223715171167035 0.198998747230378 1.12420391726408
"7" "C.ar" 14358 0.0515007604235416 0.0465919939551553 1.10535643684001
"8" "C.cat" 357 0.00128052454876754 0.000513952474133131 2.4915232695929
"9" "Ca" 4 1.43476139917932e-05 0.000152331058743353 0.0941870562060886
"10" "Cd" 2 7.17380699589658e-06 2.07238900860134e-05 0.346161216167528
"11" "Cl" 197 0.000706619989095813 0.000237592073208335 2.97408907441203
"12" "Co.oh" 1 3.58690349794829e-06 7.89182481053236e-06 0.454508758628453
"13" "Du" 54 0.000193692788889208 8.81916655882568e-05 2.19627090153289
"14" "empty" 443 0.00158899824959109 0.000480689583883964 3.30566399369841
"15" "F" 7 2.5108324485638e-05 1.69977765149928e-05 1.47715346554247
"16" "Fe" 3 1.07607104938449e-05 4.5508825299993e-05 0.236453268633294
"17" "H" 585 0.00209833854629975 0.00496747458717278 0.422415557337358
"18" "Hg" 3 1.07607104938449e-05 1.46113891717549e-05 0.736460467061289
"19" "I" 42 0.000150649946913828 7.78087873229411e-05 1.93615595483533
"20" "K" 1 3.58690349794829e-06 2.53710654386345e-05 0.141377724424857
"21" "Mg" 11 3.94559384774312e-05 0.000109752884566634 0.359497963385886
"22" "Mn" 1 3.58690349794829e-06 3.35768885838035e-05 0.106826559852199
"23" "N.2" 28 0.000100433297942552 0.000289192466200277 0.347288777132244
"24" "N.3" 1470 0.00527274814198399 0.00714944901456228 0.737504125317104
"25" "N.4" 83 0.000297712990329708 0.000349291747449716 0.852333307338064
"26" "N.am" 10778 0.0386596459008867 0.156611839905898 0.246850084413259
"27" "N.ar" 1944 0.00697294040001148 0.00659978446316982 1.05654062476192
"28" "N.pl3" 5540 0.0198714453786335 0.0174078164735835 1.14152429219303
"29" "Na" 13 4.66297454733278e-05 8.29374267886716e-05 0.562228022725404
"30" "Ni" 4 1.43476139917932e-05 1.67884442919017e-05 0.854612478817592
"31" "O.2" 59244 0.212502510832449 0.272289621848456 0.780428241773819
"32" "O.3" 11648 0.0417802519441017 0.0316958920267743 1.31815983941417
"33" "O.3.wat" 64378 0.230917673390915 0.168459918133517 1.37075736441885
"34" "O.co2" 40742 0.146137622313409 0.0288193532831687 5.07081546478552
"35" "P.3" 1 3.58690349794829e-06 1.30623307208811e-05 0.274599041671358
"36" "Pt" 4 1.43476139917932e-05 3.68424712640237e-06 3.89431368188471
"37" "S.3" 1296 0.00464862693334099 0.00543363651477423 0.855527770527385
"38" "S.O" 1 3.58690349794829e-06 3.11905012405656e-06 1.14999867116058
"39" "Sb" 1 3.58690349794829e-06 2.51198667709253e-07 14.2791501669106
"40" "Se" 174 0.000624121208643003 0.00053804661301091 1.15997609417225
"41" "Ta" 1 3.58690349794829e-06 2.72131890018357e-07 13.1807540002252
"42" "Y" 1 3.58690349794829e-06 9.41995003909698e-07 3.80777337784282
"43" "Zn" 14 5.02166489712761e-05 0.000176341464731895 0.284769376548075
