"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.1" 24 8.61079219288174e-05 0.000115216455589311 0.747357844748749
"2" "C.2" 40784 0.146326061997704 0.169747918368974 0.862019772635096
"3" "C.3" 84462 0.303035304247991 0.344113454380668 0.880626143471753
"4" "C.ar" 23734 0.0851535591274397 0.0740474012723296 1.14998713883644
"5" "C.cat" 2125 0.00762413892078071 0.00635229097580928 1.20021877930574
"6" "Du" 22 7.89322617680827e-05 3.91451257180252e-05 2.01640077328291
"7" "empty" 796 0.00285591274397245 0.000834105176128574 3.42392401546759
"8" "N.1" 8 2.87026406429392e-05 1.5239385841028e-05 1.88345127174777
"9" "N.2" 33 0.000118398392652124 0.000252015063379308 0.469806808626842
"10" "N.3" 1285 0.0046103616532721 0.00512631587805427 0.899351847007523
"11" "N.4" 71 0.000254735935706085 0.00026599845588179 0.957659452802575
"12" "N.am" 15451 0.0554355625717566 0.112850331605268 0.491230834532779
"13" "N.ar" 2673 0.00959026980482204 0.00693333442744309 1.38321177280335
"14" "N.pl3" 5783 0.0207484213547646 0.015470321149542 1.34117586533612
"15" "O.2" 34681 0.124429535017222 0.130401540651669 0.954202951862356
"16" "O.3" 7909 0.0283761481056257 0.0200348940069315 1.41633632280802
"17" "O.3.wat" 35317 0.126711394948335 0.0790650737265996 1.60262159985448
"18" "O.co2" 21004 0.0753587830080367 0.0207687081149771 3.62847715856205
"19" "P.3" 147 0.000527411021814007 0.000170417362818419 3.09481975950988
"20" "Ru.oh" 996 0.00357347876004592 0.00845934540055449 0.422429702398922
"21" "S.2" 2 7.17566016073479e-06 8.77102014751474e-06 0.818110098945332
"22" "S.3" 1413 0.00506960390355913 0.00488981233240601 1.03676860356411
