"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "As" 1 0.000127893592531014 2.34452089861969e-06 54.5499904079806
"2" "Br" 1 0.000127893592531014 4.28712392890458e-05 2.98320260043644
"3" "C.2" 368 0.0470648420514132 0.0544419313878471 0.864496186149622
"4" "C.3" 1568 0.20053715308863 0.210372039042804 0.953250032661552
"5" "C.ar" 426 0.054482670418212 0.0426428997000981 1.27764928748705
"6" "Ca" 2 0.000255787185062028 0.000248268016585978 1.03028649674432
"7" "Cd" 2 0.000255787185062028 3.38071540292036e-05 7.56606678104498
"8" "Cl" 46 0.00588310525642665 0.000240480857886991 24.4639232748883
"9" "Co.oh" 3 0.000383680777593043 1.13667397138437e-05 33.7546901972034
"10" "Du" 1 0.000127893592531014 0.000101170263419902 1.26414213235957
"11" "empty" 184 0.0235324210257066 0.0187032270697378 1.25820110818109
"12" "F" 1 0.000127893592531014 1.32716629439722e-05 9.63659136544766
"13" "Fe" 4 0.000511574370124057 6.15855400333851e-05 8.30672865492023
"14" "H" 6 0.000767361555186085 0.00429606241483057 0.17861974084386
"15" "Hg" 1 0.000127893592531014 2.25660136492145e-05 5.66753147095903
"16" "I" 4 0.000511574370124057 9.13735153792407e-05 5.59871608311003
"17" "Kr" 1 0.000127893592531014 2.09332223091044e-08 6109.59892569382
"18" "Mg" 12 0.00153472311037217 0.000187519805444957 8.18432541954967
"19" "Mn" 3 0.000383680777593043 4.6115888746957e-05 8.31992590879776
"20" "N.2" 7 0.000895255147717099 0.00031133981540331 2.87549199756987
"21" "N.3" 65 0.00831308351451592 0.00659327423103168 1.26084297774084
"22" "N.4" 3 0.000383680777593043 0.000317682581762968 1.20774886512134
"23" "N.am" 1287 0.164599053587415 0.193425988520137 0.850966588547533
"24" "N.ar" 58 0.00741782836679882 0.00518294024440039 1.43120082752507
"25" "N.pl3" 73 0.00933623225476404 0.013705273710883 0.681214578542155
"26" "Na" 2 0.000255787185062028 0.000109962216789725 2.32613703624361
"27" "O.2" 1231 0.157437012405678 0.19635789563675 0.801786003537781
"28" "O.3" 252 0.0322291853178156 0.0260776663576784 1.23589223344465
"29" "O.3.wat" 1845 0.235963678219721 0.194113058742767 1.21559919640653
"30" "O.co2" 291 0.0372170354265251 0.0233336349112894 1.59499518904869
"31" "S.3" 66 0.00844097710704694 0.00655705975643693 1.287311298141
"32" "Sm" 1 0.000127893592531014 1.4234591170191e-06 89.8470430249091
"33" "Zn" 4 0.000511574370124057 0.000384103696149757 1.33186526256337
