"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.2" 303 0.0411349443388542 0.0493438544266878 0.833638653015444
"2" "C.3" 2178 0.295682867227803 0.218238806786232 1.35485925524432
"3" "C.ar" 588 0.0798262286179745 0.0424987953977222 1.87831744102217
"4" "Ca" 2 0.000271517784414879 0.000250193873038416 1.08522955065806
"5" "Cl" 3 0.000407276676622319 0.000240815789443937 1.69123742908533
"6" "Du" 2 0.000271517784414879 0.000100123602304446 2.71182596476378
"7" "empty" 197 0.0267445017648656 0.00830299516312779 3.22106676439286
"8" "F" 4 0.000543035568829758 1.29785978316447e-05 41.8408502885972
"9" "Fe" 2 0.000271517784414879 5.7545428127728e-05 4.71832069460353
"10" "I" 1 0.00013575889220744 9.03059210414764e-05 1.50332215918696
"11" "K" 1 0.00013575889220744 3.50422141454408e-05 3.87415280449973
"12" "Mg" 27 0.00366549008960087 0.000172636284383184 21.2324431257159
"13" "Mn" 2 0.000271517784414879 4.10709821704628e-05 6.61093964804542
"14" "N.2" 4 0.000543035568829758 0.000285277953628475 1.90353149243691
"15" "N.3" 61 0.00828129242465381 0.00659896806749976 1.25493749021754
"16" "N.4" 1 0.00013575889220744 0.00031881297576766 0.425826119155125
"17" "N.am" 798 0.108335595981537 0.189271685886784 0.572381418139528
"18" "N.ar" 89 0.0120825414064621 0.00524532124688153 2.30348930747483
"19" "N.pl3" 82 0.01113222916101 0.0139479316238901 0.798127597782506
"20" "Ni" 1 0.00013575889220744 2.0242425972904e-05 6.70665128721049
"21" "O.2" 1050 0.142546836817812 0.214533375238853 0.664450632257594
"22" "O.3" 276 0.0374694542492533 0.0265722765343979 1.41009575151564
"23" "O.3.wat" 1326 0.180016291067065 0.186858692417991 0.963381947811022
"24" "O.co2" 241 0.0327178930219929 0.0236670802094511 1.38242202808471
"25" "P.3" 1 0.00013575889220744 5.61010357883998e-06 24.1989992340767
"26" "S.3" 108 0.0146619603584035 0.0063178558251108 2.32071778215141
"27" "S.O" 5 0.000678794461037198 3.05625045712924e-06 222.100403929197
"28" "Zn" 13 0.00176486559869671 0.000378221460680898 4.66622278788595
