"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.2" 3 0.00884955752212389 0.0503260202842087 0.175844572492467
"2" "C.3" 16 0.0471976401179941 0.198998747230378 0.237175564041888
"3" "C.ar" 3 0.00884955752212389 0.0465919939551553 0.189937299756726
"4" "K" 15 0.0442477876106195 2.53710654386345e-05 1744.0255994626
"5" "N.3" 1 0.00294985250737463 0.00714944901456228 0.41259857946623
"6" "N.am" 4 0.0117994100294985 0.156611839905898 0.0753417496186006
"7" "N.ar" 1 0.00294985250737463 0.00659978446316982 0.446961946081167
"8" "N.pl3" 4 0.0117994100294985 0.0174078164735835 0.677822519981425
"9" "O.2" 137 0.404129793510324 0.272289621848456 1.48419095361352
"10" "O.3" 95 0.28023598820059 0.0316958920267743 8.84139774213856
"11" "O.3.wat" 52 0.153392330383481 0.168459918133517 0.910556837988643
"12" "O.co2" 7 0.0206489675516224 0.0288193532831687 0.716496562179346
"13" "Se" 1 0.00294985250737463 0.00053804661301091 5.48252221283812
