"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "Au" 22 1.59098058642098e-05 7.68249258744131e-06 2.07091717735176
"2" "Ba" 14 1.01244219135881e-05 2.78411856711088e-06 3.63649092865119
"3" "Be" 2 1.44634598765544e-06 1.25599333854626e-07 11.5155546073954
"4" "Br" 70 5.06221095679403e-05 4.3101504734446e-05 1.17448589973435
"5" "C.1" 36 2.60342277777979e-05 3.86845948272249e-05 0.672986957575057
"6" "C.2" 64356 0.0465405211907767 0.0493438544266878 0.943187793728676
"7" "C.3" 225662 0.163192664133151 0.218238806786232 0.747771061143127
"8" "C.ar" 41966 0.030348677858974 0.0424987953977222 0.714106778202956
"9" "C.cat" 124 8.96734512346371e-05 0.000124615472406098 0.719601262212516
"10" "Ca" 345 0.000249494682870563 0.000250193873038416 0.997205406513909
"11" "Cd" 35 2.53110547839701e-05 3.08137032390017e-05 0.821422033815569
"12" "Cl" 321 0.000232138531018698 0.000240815789443937 0.963967236345773
"13" "Co.oh" 15 1.08475949074158e-05 1.01526128199156e-05 1.0684535202738
"14" "Cs" 6 4.33903796296631e-06 2.90971790096551e-06 1.49122289879941
"15" "Cu" 12 8.67807592593262e-06 1.6432579512647e-05 0.52810186734552
"16" "Du" 148 0.000107029603086502 0.000100123602304446 1.06897475343583
"17" "empty" 31612 0.0228609446808818 0.00830299516312779 2.75333710687963
"18" "F" 18 1.30171138888989e-05 1.29785978316447e-05 1.0029676593538
"19" "Fe" 32 2.3141535802487e-05 5.7545428127728e-05 0.402143776758806
"20" "Ga" 1 7.23172993827718e-07 3.13998334636566e-07 2.30311092147908
"21" "Gd" 3 2.16951898148316e-06 1.73745745165567e-06 1.24867459598263
"22" "H" 2883 0.00208490774120531 0.0044343263481822 0.470174628004093
"23" "Hg" 21 1.51866328703821e-05 1.7437374183484e-05 0.870924298038306
"24" "I" 125 9.03966242284648e-05 9.03059210414764e-05 1.00100439911295
"25" "K" 33 2.38647087963147e-05 3.50422141454408e-05 0.681027423018007
"26" "Li" 1 7.23172993827718e-07 1.8839900078194e-07 3.83851820246513
"27" "Mg" 490 0.000354354766975582 0.000172636284383184 2.05260886053974
"28" "Mn" 67 4.84525905864571e-05 4.10709821704628e-05 1.17972807139984
"29" "Mo" 3 2.16951898148316e-06 2.05145578629223e-06 1.05755093333223
"30" "N.1" 14 1.01244219135881e-05 1.20575360500441e-05 0.839675856789251
"31" "N.2" 363 0.000262511796759462 0.000285277953628475 0.920196578181214
"32" "N.3" 17921 0.0129599832223865 0.00659896806749976 1.96394089042726
"33" "N.4" 897 0.000648686175463464 0.00031881297576766 2.03469188762318
"34" "N.am" 233002 0.168500753907846 0.189271685886784 0.890258641266806
"35" "N.ar" 9449 0.00683326161867811 0.00524532124688153 1.30273462711948
"36" "N.pl3" 31539 0.0228081530523324 0.0139479316238901 1.63523550784164
"37" "Na" 187 0.000135233349845783 0.000103849715875467 1.30220240571434
"38" "Ni" 30 2.16951898148316e-05 2.0242425972904e-05 1.07176826749285
"39" "O.2" 275516 0.199245730567438 0.214533375238853 0.928740017004838
"40" "O.3" 48215 0.0348677858974034 0.0265722765343979 1.31218662624811
"41" "O.3.wat" 343093 0.248115591971333 0.186858692417991 1.32782472552208
"42" "O.co2" 47831 0.0345900874677736 0.0236670802094511 1.46152745339328
"43" "Os" 4 2.89269197531087e-06 9.21061781600593e-07 3.14060580201693
"44" "Pb" 2 1.44634598765544e-06 1.25599333854626e-06 1.15155546073954
"45" "Pr" 1 7.23172993827718e-07 6.27996669273132e-07 1.15155546073954
"46" "Pt" 12 8.67807592593262e-06 6.25903347042221e-06 1.38648818015463
"47" "Ru.oh" 6 4.33903796296631e-06 0.0010466192490106 0.00414576548928192
"48" "S.2" 6 4.33903796296631e-06 7.57782647589579e-06 0.572596637936788
"49" "S.3" 5356 0.00387331455494126 0.0063178558251108 0.613074223622906
"50" "S.O" 1 7.23172993827718e-07 3.05625045712924e-06 0.236620985083467
"51" "Sb" 1 7.23172993827718e-07 2.51198667709253e-07 2.87888865184885
"52" "Se" 481 0.000347846210031133 0.000621779502247328 0.559436598945277
"53" "Sm" 1 7.23172993827718e-07 1.23506011623716e-06 0.585536674952309
"54" "Sr" 1 7.23172993827718e-07 1.61185811780104e-06 0.448657971716704
"55" "Tb" 6 4.33903796296631e-06 1.31879300547358e-06 3.29015845925582
"56" "U" 2 1.44634598765544e-06 4.18664446182088e-07 3.45466638221862
"57" "Yb" 2 1.44634598765544e-06 7.74529225436863e-07 1.86738723363169
"58" "Zn" 433 0.000313133906327402 0.000378221460680898 0.827911525072318
