"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "Ag" 1 5.41943735401391e-06 1.67465778472835e-07 32.36146156806
"2" "As" 1 5.41943735401391e-06 1.4234591170191e-06 3.80723077271294
"3" "Au" 9 4.87749361861252e-05 5.67290324576729e-06 8.59787908819307
"4" "Br" 4 2.16777494160556e-05 4.29759054005913e-05 0.504416351767132
"5" "C.1" 22 0.000119227621788306 4.93814714271773e-05 2.41442019329316
"6" "C.2" 5025 0.0272326727039199 0.0503260202842087 0.541125098907631
"7" "C.3" 74329 0.4028213590865 0.198998747230378 2.02424067836045
"8" "C.ar" 18352 0.0994575143208632 0.0465919939551553 2.13464816330013
"9" "C.cat" 207 0.00112182353228088 0.000513952474133131 2.18273787702458
"10" "Ca" 3 1.62583120620417e-05 0.000152331058743353 0.10673011922955
"11" "Cd" 25 0.000135485933850348 2.07238900860134e-05 6.53766900364847
"12" "Cl" 23 0.00012464705914232 0.000237592073208335 0.524626337314805
"13" "Cs" 1 5.41943735401391e-06 2.17705512014686e-06 2.48934319754307
"14" "Cu" 26 0.000140905371204362 1.30623307208811e-05 10.78715385602
"15" "Du" 11 5.9613810894153e-05 8.81916655882568e-05 0.675957421787154
"16" "empty" 244 0.00132234271437939 0.000480689583883964 2.75092857992654
"17" "F" 10 5.41943735401391e-05 1.69977765149928e-05 3.18832133675467
"18" "Fe" 30 0.000162583120620417 4.5508825299993e-05 3.57256245461564
"19" "H" 840 0.00455232737737168 0.00496747458717278 0.916426908177223
"20" "Hg" 16 8.67109976642225e-05 1.46113891717549e-05 5.93448005832618
"21" "I" 12 6.50332482481669e-05 7.78087873229411e-05 0.835808531217046
"22" "Ir" 1 5.41943735401391e-06 1.8839900078194e-07 28.7657436160533
"23" "K" 5 2.70971867700695e-05 2.53710654386345e-05 1.06803503524951
"24" "Mg" 9 4.87749361861252e-05 0.000109752884566634 0.444406872573017
"25" "Mn" 6 3.25166241240834e-05 3.35768885838035e-05 0.968422790066632
"26" "N.1" 8 4.33554988321113e-05 1.31879300547358e-05 3.28751355612037
"27" "N.2" 62 0.000336005115948862 0.000289192466200277 1.16187368351486
"28" "N.3" 1121 0.00607518927384959 0.00714944901456228 0.849742303424418
"29" "N.4" 67 0.000363102302718932 0.000349291747449716 1.03953873909146
"30" "N.am" 15238 0.0825813864004639 0.156611839905898 0.527299765139621
"31" "N.ar" 2298 0.012453867039524 0.00659978446316982 1.88701117574717
"32" "N.pl3" 3721 0.0201657263942857 0.0174078164735835 1.15842940008515
"33" "Na" 10 5.41943735401391e-05 8.29374267886716e-05 0.653436881737709
"34" "Ni" 7 3.79360614780973e-05 1.67884442919017e-05 2.25965317682215
"35" "O.2" 33823 0.183301629624812 0.272289621848456 0.673186250656405
"36" "O.3" 5794 0.0314002200291566 0.0316958920267743 0.990671598787377
"37" "O.3.wat" 16008 0.0867543531630546 0.168459918133517 0.514985131919009
"38" "O.co2" 3168 0.0171687775375161 0.0288193532831687 0.595737779707329
"39" "P.3" 4 2.16777494160556e-05 1.30623307208811e-05 1.65956213169539
"40" "Pb" 1 5.41943735401391e-06 1.17226044930985e-06 4.62306593829427
"41" "Pt" 7 3.79360614780973e-05 3.68424712640237e-06 10.2968286807464
"42" "Ru.oh" 2 1.08388747080278e-05 0.00114475419519568 0.00946829874353512
"43" "S.2" 8 4.33554988321113e-05 1.0424744709934e-05 4.15890269147759
"44" "S.3" 3714 0.0201277903328076 0.00543363651477423 3.70429458762645
"45" "S.O" 1 5.41943735401391e-06 3.11905012405656e-06 1.73752813788241
"46" "Sb" 2 1.08388747080278e-05 2.51198667709253e-07 43.14861542408
"47" "Se" 81 0.000438974425675126 0.00053804661301091 0.815866906435159
"48" "Sm" 1 5.41943735401391e-06 1.29785978316447e-06 4.17567246039485
"49" "Y" 1 5.41943735401391e-06 9.41995003909698e-07 5.75314872321067
"50" "Zn" 162 0.000877948851350253 0.000176341464731895 4.97868639508617
