"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.1" 8 0.000295388250932319 3.89357934949342e-05 7.58654760614423
"2" "C.2" 2456 0.090684193036222 0.0521001527413499 1.74057441801412
"3" "C.3" 7011 0.258870878410811 0.213055971207944 1.21503695457637
"4" "C.ar" 1588 0.0586345678100654 0.0425055358953058 1.3794572065739
"5" "C.cat" 12 0.000443082376398479 0.000107261831111851 4.13084852090991
"6" "Ca" 1 3.69235313665399e-05 0.000253857186942509 0.145450013888722
"7" "Cl" 7 0.000258464719565779 0.000245086166794994 1.05458713947726
"8" "Du" 4 0.00014769412546616 0.000105273174992486 1.40296068278269
"9" "empty" 255 0.00941550049846767 0.0127531051609311 0.738290822482346
"10" "Fe" 3 0.00011077059409962 6.18995383680217e-05 1.789522135707
"11" "H" 46 0.00169848244286084 0.00432930437185743 0.392322252485132
"12" "Hg" 1 3.69235313665399e-05 2.06820236413951e-05 1.7852958688548
"13" "I" 4 0.00014769412546616 8.99919227068398e-05 1.64119313182464
"14" "K" 1 3.69235313665399e-05 3.53352792577682e-05 1.04494805594108
"15" "Mg" 2 7.38470627330798e-05 0.000182809830425409 0.403955643748662
"16" "Mn" 1 3.69235313665399e-05 4.49436282976471e-05 0.821552081242914
"17" "N.2" 16 0.000590776501864638 0.000299700943799448 1.97122002478568
"18" "N.3" 270 0.00996935346896577 0.00660700642486646 1.50890627734894
"19" "N.4" 6 0.000221541188199239 0.00032513480890501 0.681382559269327
"20" "N.am" 4302 0.158845031938855 0.191235703603491 0.83062434966749
"21" "N.ar" 99 0.00365542960528745 0.00521896631999436 0.700412568535487
"22" "N.pl3" 239 0.00882472399660304 0.0138127239409956 0.638883686831069
"23" "Na" 1 3.69235313665399e-05 0.000108308492227306 0.340910768927046
"24" "Ni" 1 3.69235313665399e-05 2.19798834245596e-05 1.67987839850337
"25" "O.2" 5239 0.193442380829303 0.20613532231322 0.938424228601488
"26" "O.3" 740 0.0273234132112395 0.0262568547406443 1.04062019160826
"27" "O.3.wat" 3959 0.146180260680131 0.191853087129053 0.761938537803152
"28" "O.co2" 550 0.0203079422515969 0.0234805023990101 0.864885337907127
"29" "P.3" 2 7.38470627330798e-05 4.58437568569386e-06 16.1084229993474
"30" "S.2" 1 3.69235313665399e-05 7.1382288074046e-06 5.17264609509834
"31" "S.3" 109 0.00402466491895285 0.00643510280326409 0.625423562295137
"32" "Se" 146 0.00539083557951483 0.000629985325392497 8.55708119257571
"33" "Zn" 3 0.00011077059409962 0.000386259818047594 0.286777420078344
