"x" "y" "position"
"1" -1.34504742700293 1.27357642158131e-05 "9^th"
"2" -1.32218086896353 2.24524192544594e-05 "9^th"
"3" -1.29931431092413 3.7990829268822e-05 "9^th"
"4" -1.27644775288473 6.17422751862304e-05 "9^th"
"5" -1.25358119484533 9.64455769206372e-05 "9^th"
"6" -1.23071463680592 0.000144899916101193 "9^th"
"7" -1.20784807876652 0.000209506396891994 "9^th"
"8" -1.18498152072712 0.000291660714336682 "9^th"
"9" -1.16211496268772 0.000391070391980564 "9^th"
"10" -1.13924840464832 0.000505186489812961 "9^th"
"11" -1.11638184660892 0.000628428719943286 "9^th"
"12" -1.09351528856952 0.000751016100204166 "9^th"
"13" -1.07064873053012 0.000862713479135207 "9^th"
"14" -1.04778217249072 0.000953047045932509 "9^th"
"15" -1.02491561445132 0.00101288060768129 "9^th"
"16" -1.00204905641192 0.00103588901345838 "9^th"
"17" -0.979182498372517 0.00101961370263648 "9^th"
"18" -0.956315940333116 0.000965871871664024 "9^th"
"19" -0.933449382293716 0.00088043341888919 "9^th"
"20" -0.910582824254315 0.000772041366947448 "9^th"
"21" -0.887716266214914 0.000650992135307678 "9^th"
"22" -0.864849708175513 0.000527578104747997 "9^th"
"23" -0.841983150136113 0.000410705774768983 "9^th"
"24" -0.819116592096712 0.000307497089524244 "9^th"
"25" -0.796250034057311 0.000222186266513541 "9^th"
"26" -0.773383476017911 0.00015464464786516 "9^th"
"27" -0.75051691797851 0.000103640126308629 "9^th"
"28" -0.727650359939109 6.68444206813844e-05 "9^th"
"29" -0.704783801899709 4.14635175901406e-05 "9^th"
"30" -0.681917243860308 2.47182910878896e-05 "9^th"
"31" -0.659050685820907 1.41512387333741e-05 "9^th"
"32" -0.636184127781506 7.77438821101245e-06 "9^th"
"33" -0.613317569742106 4.09559788367901e-06 "9^th"
"34" -0.590451011702705 2.06752842821395e-06 "9^th"
"35" -0.567584453663304 9.99535681510069e-07 "9^th"
"36" -0.544717895623904 4.62504489895555e-07 "9^th"
"37" -0.521851337584503 2.04735006078635e-07 "9^th"
"38" -0.498984779545102 9.02683177088862e-08 "9^th"
"39" -0.476118221505701 3.88875000548507e-08 "9^th"
"40" -0.453251663466301 1.60557901967982e-08 "9^th"
"41" -0.4303851054269 6.34580992487279e-09 "9^th"
"42" -0.407518547387499 2.39860357453653e-09 "9^th"
"43" -0.384651989348099 8.66391687484559e-10 "9^th"
"44" -0.361785431308698 2.98880017729673e-10 "9^th"
"45" -0.338918873269297 9.84261987062214e-11 "9^th"
"46" -0.316052315229897 3.09322021168817e-11 "9^th"
"47" -0.293185757190496 9.274524252867e-12 "9^th"
"48" -0.270319199151095 2.65267100859003e-12 "9^th"
"49" -0.247452641111694 7.23684013970406e-13 "9^th"
"50" -0.224586083072294 1.88321766317263e-13 "9^th"
"51" -0.201719525032893 4.672694383026e-14 "9^th"
"52" -0.178852966993492 1.3156387307109e-14 "9^th"
"53" -0.155986408954092 3.5112713477199e-15 "9^th"
"54" -0.133119850914691 8.96005512472993e-16 "9^th"
"55" -0.11025329287529 2.43792778360576e-16 "9^th"
"56" -0.0873867348358894 9.46493176911767e-17 "9^th"
"57" -0.0645201767964889 5.76699325792424e-17 "9^th"
"58" -0.0416536187570882 6.55713319999665e-17 "9^th"
"59" -0.0187870607176874 6.88002549347046e-17 "9^th"
"60" 0.00407949732171331 5.33458049880499e-17 "9^th"
"61" 0.0269460553611141 6.4330298413428e-17 "9^th"
"62" 0.0498126134005148 7.07626717652484e-17 "9^th"
"63" 0.0726791714399153 7.45934085948009e-17 "9^th"
"64" 0.0955457294793161 6.20893535131625e-17 "9^th"
"65" 0.118412287518717 5.56569801613421e-17 "9^th"
"66" 0.141278845558118 6.80842400747303e-17 "9^th"
"67" 0.164145403597518 2.8928771951526e-17 "9^th"
"68" 0.187011961636919 1.5543178394159e-17 "9^th"
"69" 0.20987851967632 2.81787361042422e-17 "9^th"
"70" 0.23274507771572 3.46944695195361e-17 "9^th"
"71" 0.255611635755121 2.71865861969314e-17 "9^th"
"72" 0.278478193794522 3.21826555939762e-17 "9^th"
"73" 0.301344751833923 4.09914595397038e-17 "9^th"
"74" 0.324211309873323 3.91632295296201e-17 "9^th"
"75" 0.347077867912724 4.85722573273506e-17 "9^th"
"76" 0.369944425952125 4.1854893372574e-17 "9^th"
"77" 0.392810983991525 1.11231592046425e-17 "9^th"
"78" 0.415677542030926 1.77638303531579e-17 "9^th"
"79" 0.438544100070327 3.06285770567989e-17 "9^th"
"80" 0.461410658109727 5.26945496550825e-17 "9^th"
"81" 0.484277216149128 4.70697061647451e-17 "9^th"
"82" 0.507143774188529 1.18155986757392e-17 "9^th"
"83" 0.530010332227929 3.2302122581178e-17 "9^th"
"84" 0.55287689026733 3.00859495809835e-17 "9^th"
"85" 0.575743448306731 8.34336516978089e-18 "9^th"
"86" 0.598610006346131 0 "9^th"
"87" 0.621476564385532 0 "9^th"
"88" 0.644343122424933 0 "9^th"
"89" 0.667209680464333 0 "9^th"
"90" 0.690076238503734 0 "9^th"
"91" 0.712942796543135 0 "9^th"
"92" 0.735809354582536 2.09639892702972e-19 "9^th"
"93" 0.758675912621936 2.43310399620295e-17 "9^th"
"94" 0.781542470661337 3.58926424794776e-18 "9^th"
"95" 0.804409028700738 0 "9^th"
"96" 0.827275586740138 3.72653675021063e-18 "9^th"
"97" 0.850142144779539 1.85752409178482e-18 "9^th"
"98" 0.87300870281894 0 "9^th"
"99" 0.895875260858341 0 "9^th"
"100" 0.918741818897741 5.88526691720089e-18 "9^th"
"101" 0.941608376937142 9.00556199478722e-18 "9^th"
"102" 0.964474934976543 0 "9^th"
"103" 0.987341493015943 0 "9^th"
"104" 1.01020805105534 0 "9^th"
"105" 1.03307460909474 0 "9^th"
"106" 1.05594116713415 0 "9^th"
"107" 1.07880772517355 0 "9^th"
"108" 1.10167428321295 0 "9^th"
"109" 1.12454084125235 0 "9^th"
"110" 1.14740739929175 0 "9^th"
"111" 1.17027395733115 0 "9^th"
"112" 1.19314051537055 0 "9^th"
"113" 1.21600707340995 0 "9^th"
"114" 1.23887363144935 0 "9^th"
"115" 1.26174018948875 0 "9^th"
"116" 1.28460674752815 0 "9^th"
"117" 1.30747330556755 1.58834747129061e-18 "9^th"
"118" 1.33033986360695 9.43777480482969e-18 "9^th"
"119" 1.35320642164635 1.50328283198586e-17 "9^th"
"120" 1.37607297968576 5.59988278262709e-19 "9^th"
"121" 1.39893953772516 1.39128517633335e-17 "9^th"
"122" 1.42180609576456 1.84509958440442e-17 "9^th"
"123" 1.44467265380396 2.16671825199544e-17 "9^th"
"124" 1.46753921184336 2.13854231836154e-17 "9^th"
"125" 1.49040576988276 1.45805705153535e-17 "9^th"
"126" 1.51327232792216 1.22337843119402e-17 "9^th"
"127" 1.53613888596156 2.80274364281382e-17 "9^th"
"128" 1.55900544400096 3.58703500474486e-17 "9^th"
"129" 1.58187200204036 1.97510190837725e-17 "9^th"
"130" 1.60473856007976 2.22216488712028e-17 "9^th"
"131" 1.62760511811916 3.48090640163151e-17 "9^th"
"132" 1.65047167615856 2.01001709581393e-17 "9^th"
"133" 1.67333823419796 4.82565281846965e-17 "9^th"
"134" 1.69620479223737 2.89594081292353e-17 "9^th"
"135" 1.71907135027677 3.07711235392714e-17 "9^th"
